universe,window,stage1_sharpe,stage6_sharpe,stage6_dsr,sharpe_inflation_vs_stage6
big_tech,2005_2014,-1.6831562104603774,-0.5404058234478843,5.338368752516856e-13,3.1146152343835682
big_tech,2015_2024,-1.5228032857798854,-0.39555250281406207,4.107908386099257e-13,3.8498132989837552
industrials_value,2005_2014,-2.1069889615331863,-1.9063730041653202,5.356372366855547e-76,1.1052343675290885
industrials_value,2015_2024,-1.3841832001976229,-1.1826629360201109,2.3927478610536596e-50,1.17039534937627
consumer_defensive,2005_2014,-1.974507974128427,-3.515816613942404,5.732329174646854e-184,0.5616072141812722
consumer_defensive,2015_2024,-1.8000240156367537,-2.166639700321425,4.121654921659408e-111,0.8307906549343285
financials,2005_2014,-1.0943494632511102,-0.8363273295833784,3.0914700180025434e-47,1.3085181178956176
financials,2015_2024,-1.5309522932191828,-1.3754866884324695,1.146181217674932e-66,1.1130258882867743
